Simbolo;Probabilidade;
44;0.015609281407596867;
45;0.004477641381033474;
89;7.429860147676689E-4;
46;0.006535646890965158;
110;0.04504599280684336;
111;0.05195642025393026;
112;0.009579917022269855;
113;8.481875743807902E-4;
114;0.03515047110573414;
115;0.041074633931448036;
116;0.06738159893220418;
90;1.3150194951640158E-5;
117;0.02241450729507065;
91;3.2875487379100395E-5;
118;0.005450755807454846;
119;0.015931461183912053;
93;1.3150194951640158E-5;
50;1.3150194951640158E-5;
95;1.9725292427460236E-5;
96;0.007620537974475472;
97;0.053580469330457826;
10;0.023598024840718265;
98;0.008705429057985785;
99;0.014655892273602956;
13;0.023348171136637102;
58;0.0014793969320595177;
59;0.0011309167658410536;
120;9.796895238971919E-4;
121;0.01417591015786809;
122;4.14231140976665E-4;
63;0.0013610451774947563;
65;0.003938483388016227;
66;4.931323106865059E-4;
67;8.021618920500496E-4;
68;0.0012887191052607355;
69;0.0011506420582685138;
26;6.575097475820079E-6;
70;4.99707408162326E-4;
71;4.734070182590457E-4;
72;0.0018344521957538021;
73;0.004760370572493737;
74;7.890116970984094E-5;
75;5.194327005897863E-4;
32;0.19059892562907246;
76;8.3503737942915E-4;
33;0.0028667424994575546;
77;0.0014333712497287773;
34;7.298358198160287E-4;
78;7.955867945742296E-4;
79;0.0012558436178816352;
39;0.012104754452984765;
100;0.0316656694435495;
101;0.08873094043619197;
102;0.012841165370276615;
103;0.01572763316216163;
104;0.04644648856919304;
105;0.04472381303052818;
106;9.665393289455517E-4;
80;4.99707408162326E-4;
107;0.0067526251076672214;
81;5.85183675347987E-4;
108;0.03000874487964284;
82;8.087369895258697E-4;
109;0.01245980971667905;
83;0.0013807704699222165;
40;3.419050687426441E-4;
84;0.003162621885869458;
41;3.945058485492047E-4;
85;4.2080623845248505E-4;
42;3.5505526369428424E-4;
86;2.3670350912952286E-4;
87;0.0016832249538099402
