Simbolo;Probabilidade;
44;0.015898585696532953;
88;2.6300389903280316E-5;
45;0.004398740211323633;
89;7.49561112243489E-4;
46;0.006423870233876217;
110;0.0453221469008278;
111;0.05237065139490693;
112;0.009586492119745675;
113;8.218871844775099E-4;
114;0.03480199093951568;
115;0.04127188685572264;
116;0.06714489542307464;
90;6.575097475820079E-6;
117;0.02236848161273991;
91;1.3150194951640158E-5;
118;0.005279803273083523;
119;0.016023512548573534;
93;1.3150194951640158E-5;
50;6.575097475820079E-6;
95;2.6300389903280316E-5;
96;0.007285208003208647;
97;0.053580469330457826;
10;0.023722951692758846;
98;0.009093359809059169;
99;0.014813694613022638;
13;0.023722951692758846;
57;6.575097475820079E-6;
58;0.0015319977118660785;
59;0.0012755689103090954;
120;9.468140365180914E-4;
121;0.01413645957301317;
122;5.062825056381461E-4;
63;0.001328169690115656;
65;0.004194912189573211;
66;5.983338702996272E-4;
67;9.468140365180914E-4;
68;0.001262418715357455;
69;0.001236118325454175;
26;6.575097475820079E-6;
70;4.8655721321068585E-4;
71;5.391579930172465E-4;
72;0.0018673276831329025;
73;0.004819546449776118;
74;5.260077980656063E-5;
75;5.391579930172465E-4;
32;0.1900203170512003;
76;6.443595526303677E-4;
33;0.0029522187666432154;
77;0.0013150194951640159;
34;7.429860147676689E-4;
78;7.890116970984094E-4;
79;0.001157217155744334;
39;0.01157874665491916;
100;0.031159386937911353;
101;0.08798137932394848;
102;0.012663637738429472;
103;0.016082688425855914;
104;0.04660429090861272;
105;0.04456601069110849;
106;9.07363451663171E-4;
80;4.2080623845248505E-4;
107;0.007074804883982405;
81;5.523081879688866E-4;
108;0.030344074850909664;
82;9.20513646614811E-4;
109;0.012538710886388891;
83;0.0014333712497287773;
40;3.6820545864592444E-4;
84;0.0031034460085870774;
41;3.6163036117010434E-4;
85;4.3395643340412524E-4;
42;3.945058485492047E-4;
86;2.761540939844433E-4;
87;0.0015582981017693586
